gamma;family;category;brand;reference;ean13;stock;description;details;wholesale_price;image;energy_class_png;energy_class_string
Encastre;Fornos;"Fornos A Gas";Orima;030356;5603883208218;2;"Forno Orima ORF-630-VX";"Forno a gás<br />  2 funções<br />  Volume útil do forno: 64 L<br />  Termóstato<br />  C/ ingnição<br />  Aquecimento superior e inferior<br />  Grelhador a gás<br />  Relógio conta-minutos<br />  Porta do forno amovível com vidro duplo<br />  Grelha e tabuleiro de recolha de molhos<br />  Painel de controlo em inox<br />  Classe energética: A<br />  Dimensões do Produto: A595xL596xP610 mm<br />  Medidas de Encastre: A574xL556xP540<br />  <br />  ";145,53;https://www.orima.pt/backoffice/img/front/prods/5603883208218/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883208218/5603883208218.png;A
Encastre;Fornos;"Fornos Multifunçoes";Orima;030360;5603883209789;2;"Forno Orima ORD-650-E";"Forno Eléctrico multifunções<br />  15 funções<br />  Turbo Fan<br />  Turbo resistance<br />  Programador digital Touch Control<br />  Espeto rotativo<br />  Ventilação<br />  Termóstato<br />  Aquecimento superior e inferior<br />  Grelhador eléctrico<br />  Painel de controlo em vidro preto<br />  Volume útil do forno: 61 L<br />  Porta do forno amovível com vidro duplo<br />  Luz no forno<br />  Grelha e tabuleiro de recolha de molhos<br />  Classe energética: A<br />  Dimensões do Produto: A595xL596xP580 mm<br />  Dimensões de encastre: A-600xL-560mm";202,73;https://www.orima.pt/backoffice/img/front/prods/5603883209789/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883209789/5603883209789.png;A
Encastre;"Placas A Gas";"Placas A Gas 60cm";Orima;030452;5603883206641;2;"Placa Orima OR-640-VXI - C/ignição";"4 queimadores a gás<br />  Válvulas de segurança<br />  Comandos laterais<br />  Ignição automática<br />  <br />  Preparada para gás butano/propano ou gás natural<br />  <br />  Dim. Produto: A100xL580xP510 mm<br />  Dim. Encastre: L560xP490 mm<br />  <br />  <br />  ";57,67;https://www.orima.pt/backoffice/img/front/prods/5603883206641/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883206641/5603883206641.png;
Encastre;"Placas A Gas";"Placas A Gas 70cm";Orima;030461;5603883207747;2;"Placa Orima OR-750-X Seg. Total 5G";"4 queimadores a gás + 1 triplo<br />  Válvulas de segurança<br />  Comandos frontais<br />  Ignição automática<br />  Dimensões de Encastre: L560xP490<br />  Dimensões do Produto: A100xL680xP510 mm<br />  ";86,5;https://www.orima.pt/backoffice/img/front/prods/5603883207747/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883207747/5603883207747.png;
Frio;"Frigorificos 2 Portas";"Frigorificos 2p 140-149cm";Orima;050142;5603883211508;2;"Frigorifico Orima ORA-231";"Capacidade bruta total: 213 L<br />  Capacidade net do frigorífico: 171 L<br />  Capacidade net do congelador.: 42 L<br />  Portas reversíveis<br />  Descongelação automática<br />  Prateleiras em vidro<br />  Gaveta para frutos e vegetais<br />  Congelador com prateleira em grelha<br />  Capacidade de congelação: 2Kg/24h<br />  Nível Ruído: 41 dB<br />  Consumo anual de energia. 222 kWh<br />  Classificação energética: F<br />  Dimensões prod.: A1440xL540xP570 mm<br />  <br />  Disponível nas cores: branco<br />  <br />  <br />  <br />  ";131,77;https://www.orima.pt/backoffice/img/front/prods/5603883211508/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211508/5603883211508.png;F
Frio;"Frigorificos 2 Portas";"Frigorificos 2p 160-169cm";Orima;050143;5603883211515;2;"Frigorifico Orima ORA-301";"Capacidade bruta total: 240 L<br />  Capacidade net do frigorífico: 198 L<br />  Capacidade net do congelador.: 42 L<br />  Portas reversíveis<br />  Descongelação automática<br />  Prateleiras em vidro<br />  Gaveta para frutos e vegetais<br />  Congelador com prateleira em grelha<br />  Capacidade de congelação: 2Kg/24h<br />  Nível Ruído: 40 dB<br />  Consumo anual de energia. 223 kWh<br />  Classificação energética: F<br />  Dimensões prod.: A1600xL540xP570mm<br />  <br />  Disponível nas cores: branco<br />  <br />  <br />  <br />  <br />  ";148,01;https://www.orima.pt/backoffice/img/front/prods/5603883211515/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211515/5603883211515.png;F
"Maquinas Roupa";"Maquinas Lavar Roupa";"Maquinas Lavar Roupa 7kg";Orima;050347;5603883211355;2;"Maquina Lavar Roupa Orima ORM-1071";"Capacidade de carga: 7 Kg<br />  Velocidade de centrifugação até 1000 rpm<br />  Indicadores luminosos das funções<br />  15 programas<br />  Seletor de temperatura<br />  Seletor de centrifugação<br />  Programa super-rápido 15 minutos<br />  Função auxiliar de lavagem rápida<br />  Meia carga<br />  Pré-lavagem<br />  Função pôr de molho<br />  Bloqueio infantil<br />  Consumo de água: 45 L/Ciclo<br />  Consumo de energia: 69 Kwh/100<br />  Nível de ruído (lavagem/centrifugação):76dB <br />  Classificação energética: D<br />  Classificação de eficiência na centrifugação:C<br />  Dimensões:A845xL597xP527mm<br />  Disponível nas cores: branco";153,88;https://www.orima.pt/backoffice/img/front/prods/5603883211355/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211355/5603883211355.png;D
"Maquinas Roupa";"Maquinas Lavar Roupa";"Maquinas Lavar Roupa 10kg";Orima;050349;5603883211379;2;"Maquina Lavar Roupa Orima ORM-14101";"Capacidade de carga: 10 Kg<br />  Velocidade de centrifugação até 1400 rpm<br />  Display digital LCD<br />  Seletor de sujidade<br />  15 programas<br />  Programa antialérgico<br />  Seletor de temperatura<br />  Exclusão ou redução de centrifugação<br />  Início diferido<br />  Programa super-rápido 15 minutos<br />  Função auxiliar de lavagem rápida<br />  Meia carga<br />  Função engomar fácil<br />  Extra enxaguamento<br />  Bloqueio infantil<br />  Consumo de água: 52L/Ciclo<br />  Consumo de energia: 68 Kwh/100<br />  Nível de ruído (lavagem/centrifugação): 75dB <br />  Classificação energética NR: C<br />  Classificação de eficiência na centrifugação:B<br />  Dimensões:A845xL597xP582mm<br />  Disponível nas cores: branco";226,35;https://www.orima.pt/backoffice/img/front/prods/5603883211379/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211379/5603883211379.png;C
"Pequenos Domesticos";Cozinha;Batedeiras;"Bosch | Pequenos Domesticos";060708;4242002439808;2;"Batedeira Bosch MFQ-3010 CX4";"300 W<br />  4 velocidades<br />  Turbo<br />  Varetas para bater e amassar";15,98;https://www.orima.pt/backoffice/img/front/prods/4242002439808/1.jpg;https://www.orima.pt/backoffice/img/front/prods/4242002439808/4242002439808.png;
Climatizaçao;"Ar Condicionado";"Ar Condicionado Inverter";Orima;070117;5603883211232;2;"ar Condicionado Orima ORTX-09-R-32 A++";"Função arrefecimento e aquecimento<br />  Função desumidificador e anti-humidade<br />  Alta eficiência energética<br />  Refrigerante R32 - amigo do ambiente<br />  LED com indicação de temperatura<br />  Modo de funcionamento noturno<br />  Controlo remoto com visor LED<br />  Filtro de carvão<br />  Kit de montagem com 3 m<br />  <br />  Modo Frio<br />  SEER - Eficiência sazonal em arrefecimento: 6,3<br />  Eficiência energética: A ++<br />  Capacidade nominal de arrefecimento: 2.6 kW<br />  Consumo anual de energia: 144 kWh/ano<br />  Caudal de ar: 420 m3/h<br />  <br />  Modo Quente<br />  SCOP - Coeficiente de rendimento sazonal (em aquecimento): 4.0<br />  Eficiência energética: A+<br />  Capacidade nominal de aquecimento: 2.0 kW<br />  Consumo anual de energia: 735 kWh/ano<br />  Caudal de ar: 420 m3/h<br />  <br />  Nível de Ruído da unidade interior: 50 dB<br />  Nível de Ruído da unidade exterior: 60 dB<br />  <br />  Dimensões do Produto:<br />  Unidade Interior: A255xL698xP190 mm<br />  Unidade Exterior: A498xL777xP290 mm<br />  <br />  Dimensões da Embalagem:<br />  Unidade Interior: A325xL764xP257 mm<br />  Unidade Exterior: A520xL818xP325 mm<br />  <br />  Peso Desembalado Kg:<br />  Unidade Interior: 6.5<br />  Unidade Exterior: 24<br />  <br />  Peso Embalado Kg:<br />  Unidade Interior: 8.5<br />  Unidade Exterior: 27<br />  ";207,3;https://www.orima.pt/backoffice/img/front/prods/5603883211232/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211232/5603883211232.png;A++/A+
